id,idade,renda,cidade,categoria,nota,feedback,cidade_Belo Horizonte,cidade_Rio de Janeiro,cidade_São Paulo,cidade_Vitória,cidade_nan,categoria_A,categoria_B,categoria_nan,feedback_Bom,feedback_Regular,feedback_Ruim,feedback_nan,idade_scaler,renda_scaler,nota_scaler
1,39.0,5112.57,Belo Horizonte,A,4.5,Bom,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.2833842182011651,-0.6075855015916463,-0.15519024090568911
2,64.0,9510.34,Belo Horizonte,B,5.4,Ruim,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.3016291108113887,0.705680482070674,0.15742091127208593
3,61.0,8970.8,São Paulo,B,5.0,Ruim,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.1114275113298824,0.5445625680312474,0.018482621415296968
4,61.0,8526.52,Rio de Janeiro,A,1.8,Bom,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.1114275113298824,0.4118912798052842,-1.093023697439014
5,53.0,3531.76,Vitória,B,5.5,Bom,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.6042232460458651,-1.0796483879256817,0.19215548373628302
6,23.0,7492.18,Rio de Janeiro,B,2.4,Regular,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-1.2977927487691996,0.1030157502661577,-0.8846162626538306
7,19.0,2478.38,Belo Horizonte,A,3.0,Ruim,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.5513948814112082,-1.394209659176842,-0.6762088278686473
8,65.0,4143.16,Belo Horizonte,A,3.4,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.365029643971891,-0.89707157685754,-0.5372705380118585
9,24.0,6109.96,Vitória,A,4.4,Regular,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.2343922156086975,-0.30974401387287925,-0.1899248133698862
10,17.0,8320.09,Belo Horizonte,A,1.6,Regular,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.6781959477322126,0.35024696984650666,-1.1624928423674084
11,47.0,3356.17,São Paulo,A,4.5,Ruim,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.22382004708285214,-1.1320832296912282,-0.15519024090568911
12,45.0,5402.27,Belo Horizonte,B,0.9,Bom,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.09701898076184783,-0.5210750302693681,-1.4056348496167888
13,34.0,4840.67,São Paulo,A,4.0,Bom,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.6003868840036759,-0.6887805211033043,-0.32886310322667517
