id,idade,renda,cidade,categoria,nota,feedback
1,80,11489.69,São Paulo,B,7.1,Bom
2,53,21830.2,Belo Horizonte,B,5.8,Bom
3,18,5290.46,Belo Horizonte,A,8.5,Bom
4,64,5800.24,São Paulo,B,5.8,Bom
5,74,34964.67,Belo Horizonte,B,5.3,Bom
6,37,31911.37,Rio de Janeiro,B,7.1,Bom
7,25,14886.42,Rio de Janeiro,A,6.8,Bom
8,77,29918.6,Rio de Janeiro,B,10.0,Bom
9,34,32660.84,São Paulo,B,6.0,Bom
10,80,3457.88,Belo Horizonte,A,8.5,Bom
11,74,43955.52,Rio de Janeiro,B,8.9,Bom
12,42,30910.04,Rio de Janeiro,A,7.8,Bom
13,37,20250.41,São Paulo,B,9.2,Bom
14,37,32600.68,Vitória,B,9.3,Bom
15,72,29797.02,Belo Horizonte,B,7.4,Bom
16,66,13153.2,Belo Horizonte,B,7.2,Bom
17,21,3517.06,Vitória,B,9.0,Bom
18,77,43301.62,Rio de Janeiro,A,5.0,Bom
19,16,25866.98,São Paulo,B,7.1,Bom
20,45,4729.86,Rio de Janeiro,A,8.5,Bom
21,56,29609.54,São Paulo,B,5.2,Bom
22,38,23057.73,Rio de Janeiro,A,9.5,Bom
23,33,34751.24,Rio de Janeiro,A,7.5,Bom
24,80,36933.64,São Paulo,B,5.6,Bom
25,16,18449.41,São Paulo,A,7.8,Bom
26,41,32525.08,Belo Horizonte,A,8.3,Bom
27,42,22174.78,Rio de Janeiro,A,9.3,Bom
28,76,16327.42,Vitória,B,6.3,Bom
29,80,13081.71,Belo Horizonte,B,5.9,Bom
30,39,1798.72,São Paulo,A,8.2,Bom
31,17,35139.13,Rio de Janeiro,B,9.2,Bom
32,40,14598.4,Vitória,B,9.2,Bom
33,45,24746.47,Rio de Janeiro,B,6.9,Bom
34,62,25906.42,Belo Horizonte,A,5.0,Bom
35,20,8565.41,Belo Horizonte,B,8.6,Bom
36,44,25964.19,Vitória,A,8.4,Bom
37,78,42620.88,São Paulo,B,8.5,Bom
38,48,22519.64,Belo Horizonte,B,9.7,Bom
39,66,24520.68,São Paulo,A,7.3,Bom
40,41,41086.57,Vitória,A,7.4,Bom
41,61,11957.07,Belo Horizonte,B,8.0,Bom
42,71,16722.73,Belo Horizonte,A,8.4,Bom
43,75,39840.67,Rio de Janeiro,A,8.2,Bom
44,42,4038.17,Rio de Janeiro,B,7.9,Bom
45,58,40030.86,Belo Horizonte,A,6.8,Bom
46,82,25818.01,São Paulo,B,9.3,Bom
47,46,7734.18,São Paulo,B,7.3,Bom
48,72,21052.95,Belo Horizonte,A,6.8,Bom
49,55,10372.7,Rio de Janeiro,A,8.1,Bom
50,101,1530.71,Vitória,A,4.5,Bom
51,73,9668.22,Vitória,A,9.9,Bom
52,71,18995.98,São Paulo,B,5.4,Bom
53,16,45677.67,São Paulo,A,5.8,Bom
54,54,30771.0,Belo Horizonte,B,7.3,Bom
55,39,35637.74,Rio de Janeiro,B,6.0,Bom
56,16,30473.75,São Paulo,B,5.6,Bom
57,25,32762.53,Vitória,A,5.8,Bom
58,73,23368.13,Belo Horizonte,A,10.0,Bom
59,71,2846.4,São Paulo,B,9.0,Bom
60,77,9193.98,Vitória,B,7.9,Bom
