id,idade,renda,cidade,categoria,nota,feedback
1,39,5112.57,Belo Horizonte,A,4.5,Bom
2,64,9510.34,Belo Horizonte,B,5.4,Ruim
3,61,8970.8,São Paulo,B,5.0,Ruim
4,61,8526.52,Rio de Janeiro,A,1.8,Bom
5,53,3531.76,Vitória,B,5.5,Bom
6,23,7492.18,Rio de Janeiro,B,2.4,Regular
7,19,2478.38,Belo Horizonte,A,3.0,Ruim
8,65,4143.16,Belo Horizonte,A,3.4,Regular
9,24,6109.96,Vitória,A,4.4,Regular
10,17,8320.09,Belo Horizonte,A,1.6,Regular
11,47,3356.17,São Paulo,A,4.5,Ruim
12,45,5402.27,Belo Horizonte,B,0.9,Bom
13,34,4840.67,São Paulo,A,4.0,Bom
14,69,12305.15,São Paulo,A,0.9,Ruim
15,52,3154.52,Belo Horizonte,A,9.4,Bom
16,23,8250.98,São Paulo,B,6.7,Bom
17,50,6159.88,Vitória,B,9.6,Bom
18,18,4187.2,São Paulo,B,,Regular
19,45,10673.74,São Paulo,B,9.6,Bom
20,30,9355.2,Belo Horizonte,A,3.7,Bom
21,29,8659.57,Rio de Janeiro,B,2.1,Regular
22,31,2320.12,São Paulo,B,2.7,Regular
23,54,9998.74,Vitória,B,4.0,Bom
24,46,12103.29,Rio de Janeiro,B,5.5,Bom
25,48,3144.84,São Paulo,B,6.0,Ruim
26,35,10028.73,São Paulo,A,8.4,Regular
27,32,7242.86,Rio de Janeiro,B,0.8,Bom
28,,12342.48,Rio de Janeiro,A,1.0,Regular
29,37,8673.99,Belo Horizonte,A,9.7,Regular
30,47,7081.03,Belo Horizonte,B,7.4,Bom
31,19,11764.25,Belo Horizonte,A,8.2,Bom
32,37,11001.45,São Paulo,B,5.3,Regular
33,26,6794.65,Belo Horizonte,A,8.0,Bom
34,,10570.24,Rio de Janeiro,A,5.0,Regular
35,31,8919.22,Vitória,B,5.6,Regular
36,66,8501.36,Rio de Janeiro,B,9.0,Ruim
37,49,7046.51,Rio de Janeiro,B,7.1,Ruim
38,70,10889.03,Vitória,B,,Regular
39,57,9145.72,Rio de Janeiro,B,9.7,Regular
40,41,12731.77,Rio de Janeiro,A,9.1,Ruim
41,26,10320.39,São Paulo,A,0.3,Regular
42,47,1892.68,São Paulo,,7.6,Regular
43,,5413.01,Rio de Janeiro,A,8.9,Regular
44,62,6101.02,Belo Horizonte,A,8.7,Regular
45,20,10066.84,Rio de Janeiro,B,6.2,Ruim
46,59,7293.22,São Paulo,B,7.2,Bom
47,89,15714.61,Belo Horizonte,A,11.8,Ruim
48,43,11115.9,São Paulo,A,6.1,Regular
49,36,2706.53,São Paulo,B,5.9,Bom
50,25,12521.64,Rio de Janeiro,A,1.9,Regular
51,64,9098.24,Belo Horizonte,B,0.3,Bom
52,68,11106.82,Vitória,A,7.1,Bom
53,44,6876.14,São Paulo,A,3.3,Ruim
54,69,4039.19,Rio de Janeiro,B,8.3,Regular
55,24,6580.08,Belo Horizonte,A,6.1,Ruim
56,48,11905.01,São Paulo,B,5.3,Bom
57,44,11278.49,Rio de Janeiro,B,,Ruim
58,8,28177.31,Vitória,A,11.2,Ruim
59,19,4155.49,Vitória,A,3.2,Regular
60,27,4374.83,São Paulo,A,2.7,Bom
61,28,9670.03,São Paulo,A,7.1,Ruim
62,60,1520.36,Vitória,B,5.5,Ruim
63,70,8514.24,São Paulo,A,9.6,Ruim
64,22,12356.95,Belo Horizonte,B,8.7,Bom
65,49,8569.03,Vitória,A,8.4,Regular
66,11,16488.74,Belo Horizonte,A,-1.1,Regular
67,46,4589.75,Rio de Janeiro,A,,Ruim
68,38,2405.17,Rio de Janeiro,B,5.7,Bom
69,70,9896.86,Rio de Janeiro,B,3.7,Bom
70,25,11012.51,Rio de Janeiro,A,6.1,Regular
71,21,11381.55,Vitória,A,8.4,Bom
72,28,5799.14,Rio de Janeiro,A,6.6,Bom
73,68,3077.76,São Paulo,A,4.8,Ruim
74,43,12321.25,Vitória,B,9.3,Ruim
75,60,10849.85,São Paulo,B,7.6,Bom
76,20,12827.2,São Paulo,A,1.0,Bom
77,66,7788.1,São Paulo,B,2.9,Regular
78,41,9693.43,Belo Horizonte,A,9.5,Bom
79,48,5590.19,São Paulo,B,,Bom
80,47,10196.91,São Paulo,A,1.0,Ruim
81,48,4457.82,São Paulo,B,1.1,Regular
82,44,12289.47,Belo Horizonte,A,5.2,Ruim
83,39,11505.0,São Paulo,B,8.2,Ruim
84,22,5168.12,Vitória,A,5.0,Ruim
85,61,12663.22,Belo Horizonte,A,5.3,Ruim
86,32,9247.42,Vitória,A,9.0,Bom
87,59,12315.41,Belo Horizonte,B,7.7,Bom
88,38,10989.48,São Paulo,A,9.4,Bom
89,36,5767.93,Vitória,A,4.5,Ruim
90,62,6825.36,Belo Horizonte,B,9.3,Bom
91,41,5353.86,Belo Horizonte,A,8.6,Regular
92,53,3538.21,Belo Horizonte,A,1.2,Regular
93,57,11932.92,São Paulo,B,0.7,Regular
94,55,10598.61,São Paulo,B,9.3,Regular
95,65,6419.9,São Paulo,A,4.5,Regular
96,65,1431.94,São Paulo,A,5.3,Regular
97,43,12560.12,Vitória,A,9.8,Regular
98,35,8802.3,Rio de Janeiro,A,0.2,Ruim
99,66,12789.98,Rio de Janeiro,A,7.7,Regular
100,48,5262.15,São Paulo,B,5.2,Bom
101,33,10298.98,Vitória,B,9.5,Bom
102,22,9509.77,Vitória,A,0.7,Ruim
103,59,11174.61,Vitória,B,9.5,Bom
104,45,2874.51,Vitória,B,3.1,Bom
105,25,6135.69,Rio de Janeiro,A,2.7,Bom
106,49,9250.32,Rio de Janeiro,B,4.5,Regular
107,34,5955.09,Belo Horizonte,B,7.0,Regular
108,41,7016.87,Belo Horizonte,A,8.2,Regular
109,61,9675.33,Vitória,A,4.3,Regular
110,65,7167.47,Belo Horizonte,B,2.4,Ruim
111,67,7649.51,Rio de Janeiro,B,0.2,Bom
112,40,12822.4,Vitória,B,5.8,
113,19,10473.03,Vitória,B,3.6,Regular
114,48,11870.68,Vitória,A,7.8,Bom
115,21,12681.44,Belo Horizonte,A,4.4,Regular
116,27,4361.23,São Paulo,A,0.9,Bom
117,70,6204.42,Vitória,B,8.9,Ruim
118,66,10600.62,São Paulo,A,2.0,Bom
119,27,5072.59,Vitória,B,0.3,Ruim
120,70,11650.34,São Paulo,B,0.5,Bom
121,50,11999.91,Rio de Janeiro,B,7.9,Bom
122,69,8291.58,Rio de Janeiro,A,2.8,Regular
123,48,5892.95,Belo Horizonte,A,1.9,Regular
124,25,10067.97,Rio de Janeiro,A,7.4,Bom
125,48,9472.09,São Paulo,A,1.2,Regular
126,46,7752.69,Vitória,A,1.7,Bom
127,67,6362.48,São Paulo,B,2.3,Ruim
128,18,5898.69,Vitória,B,9.2,Regular
129,18,5822.13,Belo Horizonte,A,7.3,Ruim
130,20,8491.93,São Paulo,B,0.9,Regular
131,51,8142.97,Rio de Janeiro,B,3.4,Regular
132,29,8753.53,Rio de Janeiro,B,8.3,Bom
133,43,3607.94,São Paulo,A,0.5,Bom
134,32,9456.58,Rio de Janeiro,A,5.8,Regular
135,47,7670.06,Vitória,B,6.8,Bom
136,66,7749.19,São Paulo,B,1.0,Bom
137,24,8956.39,Belo Horizonte,B,7.0,Ruim
138,55,12977.58,Vitória,B,1.2,Bom
139,36,7698.9,Vitória,B,4.8,Regular
140,49,8082.05,Rio de Janeiro,B,7.7,Regular
141,17,3208.66,Vitória,B,1.0,Regular
142,37,2474.63,São Paulo,A,0.5,Regular
143,41,9008.2,Vitória,A,5.6,Bom
144,28,8487.27,Belo Horizonte,B,6.1,Bom
145,58,4465.62,São Paulo,B,2.7,Bom
146,51,1413.62,Rio de Janeiro,A,5.3,Bom
147,59,10446.68,Belo Horizonte,A,8.7,Bom
148,5,881.3,São Paulo,B,10.6,Ruim
149,46,9273.97,Vitória,A,7.2,Regular
150,61,10676.71,Rio de Janeiro,A,8.6,Ruim
151,53,9749.08,Rio de Janeiro,A,6.1,Ruim
152,36,3967.74,Rio de Janeiro,A,2.0,Regular
153,33,10284.28,Rio de Janeiro,B,7.0,Bom
154,64,10375.54,Belo Horizonte,B,1.3,Bom
155,40,4839.11,Belo Horizonte,B,4.0,Bom
156,25,12355.6,Vitória,A,3.2,Ruim
157,22,2165.51,Belo Horizonte,A,1.2,Bom
158,53,8767.67,Vitória,B,4.5,Ruim
159,61,4905.11,Belo Horizonte,B,7.6,Ruim
160,21,2098.28,Vitória,B,3.4,Regular
161,52,8827.21,São Paulo,B,3.5,Regular
162,47,12523.15,Rio de Janeiro,B,2.9,Ruim
163,47,2576.73,Rio de Janeiro,A,9.2,Bom
164,23,3986.9,Rio de Janeiro,A,9.2,Bom
165,57,6198.21,Belo Horizonte,A,8.3,Bom
166,30,8177.55,Rio de Janeiro,A,4.1,Bom
167,16,2431.38,Vitória,B,0.9,Ruim
168,37,8568.47,Vitória,A,,Bom
169,28,9307.49,São Paulo,B,2.8,Ruim
170,38,5574.89,São Paulo,B,5.0,Bom
171,55,,Rio de Janeiro,A,9.9,Regular
