id,idade,renda,cidade,categoria,nota,feedback
1,17,29603.7,Belo Horizonte,B,7.6,Bom
2,41,28280.8,Rio de Janeiro,B,8.9,Bom
3,49,43104.31,Belo Horizonte,B,6.5,Bom
4,49,9703.29,Rio de Janeiro,A,5.3,Bom
5,68,22365.79,Belo Horizonte,B,5.6,Bom
6,22,27940.25,Rio de Janeiro,B,7.8,Bom
7,73,44541.67,São Paulo,A,8.0,Bom
8,57,28886.65,Rio de Janeiro,B,9.2,Bom
9,19,33782.52,Rio de Janeiro,A,9.1,Bom
10,52,29801.49,Vitória,B,7.5,Bom
11,56,7752.63,Vitória,A,9.7,Bom
12,29,15624.17,Vitória,A,8.7,Bom
13,62,21579.06,Vitória,A,6.0,Bom
14,61,20523.8,Rio de Janeiro,A,8.0,Bom
15,37,22264.31,Vitória,A,8.0,Bom
16,29,9120.98,São Paulo,B,7.2,Bom
17,79,40544.9,São Paulo,A,9.4,Bom
18,49,8561.81,São Paulo,A,5.1,Bom
19,58,31398.63,Vitória,A,6.7,Bom
20,79,6459.41,,A,6.2,Bom
21,68,40201.38,Vitória,B,5.6,Bom
22,34,39938.79,São Paulo,A,9.3,Bom
23,50,19433.09,Belo Horizonte,B,7.4,Bom
24,27,46160.35,Belo Horizonte,B,6.7,Bom
25,59,20630.7,São Paulo,B,6.3,Bom
26,21,20178.08,Rio de Janeiro,A,9.7,Bom
27,44,6593.51,Belo Horizonte,B,8.6,Bom
28,30,1739.15,Rio de Janeiro,A,5.9,Bom
29,57,36977.95,Vitória,A,8.9,Bom
30,66,29330.0,Belo Horizonte,A,9.8,Bom
31,68,18844.74,Rio de Janeiro,A,9.7,Bom
32,48,34523.61,São Paulo,B,5.7,Bom
33,76,20911.06,São Paulo,A,6.3,Bom
34,81,12928.39,Rio de Janeiro,B,7.9,Bom
35,79,2285.04,Rio de Janeiro,A,7.1,Bom
36,54,36848.79,Belo Horizonte,A,7.3,Bom
37,22,24397.26,São Paulo,A,5.6,Bom
38,20,15443.93,São Paulo,A,7.2,Bom
39,75,37049.49,Belo Horizonte,B,9.7,Bom
40,49,,Vitória,B,9.5,
41,62,30866.71,Rio de Janeiro,B,7.5,Bom
42,64,3981.75,São Paulo,A,7.6,Bom
43,66,25658.91,Rio de Janeiro,A,9.7,Bom
44,38,2558.62,São Paulo,B,9.3,Bom
45,58,34333.61,São Paulo,A,8.8,Bom
46,22,36268.55,São Paulo,B,7.5,Bom
47,68,33885.15,São Paulo,B,6.3,Bom
48,73,37513.76,Vitória,B,8.5,Bom
49,76,46088.87,Belo Horizonte,A,6.2,Bom
50,25,45205.66,São Paulo,B,6.9,Bom
51,60,3103.91,Belo Horizonte,A,8.8,Bom
52,57,29998.47,Belo Horizonte,A,5.3,Bom
53,16,9816.82,Vitória,A,9.1,Bom
54,64,25739.1,Belo Horizonte,A,9.1,Bom
55,19,38659.26,Vitória,B,7.2,Bom
56,69,17494.02,Belo Horizonte,B,7.2,Bom
57,23,45686.46,Belo Horizonte,A,6.1,Bom
58,30,32958.87,Belo Horizonte,A,6.5,Bom
59,21,15159.95,Rio de Janeiro,B,7.7,Bom
60,46,7924.49,Vitória,B,6.4,Bom
61,67,38454.73,Vitória,A,7.7,Bom
62,29,11429.66,Vitória,B,9.1,Bom
63,29,17599.06,Belo Horizonte,B,5.1,
64,53,1714.33,Belo Horizonte,B,7.8,Bom
65,77,9229.05,São Paulo,A,6.9,Bom
66,34,4152.1,Rio de Janeiro,B,7.7,Bom
67,68,9141.47,São Paulo,A,7.7,Bom
68,79,22782.94,Vitória,B,7.5,Bom
69,50,10201.82,São Paulo,A,5.2,Bom
70,63,29946.01,São Paulo,A,5.2,Bom
71,45,27933.54,Belo Horizonte,A,5.6,Bom
72,26,36028.83,Belo Horizonte,B,9.9,Bom
73,22,11078.93,Vitória,A,9.8,Bom
