id,idade,renda,cidade,categoria,nota,feedback
1,32,21191.06,Vitória,B,6.8,Bom
2,72,22806.03,São Paulo,A,9.9,Bom
3,31,30814.45,Rio de Janeiro,A,9.1,Bom
4,80,12391.47,Rio de Janeiro,A,9.4,Bom
5,73,28148.34,Vitória,B,8.3,Bom
6,35,29821.55,Rio de Janeiro,A,6.4,Bom
7,44,45824.44,Belo Horizonte,A,7.4,Bom
8,30,35480.47,Rio de Janeiro,A,6.9,Bom
9,65,28177.33,Belo Horizonte,A,6.1,Bom
10,21,14594.72,Rio de Janeiro,A,9.9,Bom
11,19,42462.2,Belo Horizonte,A,6.1,Bom
12,74,41182.44,Rio de Janeiro,B,7.8,Bom
13,80,27675.52,Rio de Janeiro,B,8.8,Bom
14,79,14761.59,Vitória,A,9.9,Bom
15,77,43601.57,São Paulo,A,7.7,Bom
16,26,24785.41,São Paulo,A,5.9,Bom
17,78,22224.36,Vitória,B,8.0,Bom
18,32,17949.22,Rio de Janeiro,B,9.7,Bom
19,54,33330.96,Rio de Janeiro,A,9.6,Bom
20,73,9986.66,Vitória,B,8.7,Bom
21,21,38704.9,Belo Horizonte,B,9.1,Bom
22,52,26406.79,Rio de Janeiro,B,6.7,Bom
23,39,20631.33,São Paulo,A,8.3,Bom
24,17,29242.01,Belo Horizonte,A,7.3,Bom
25,30,35836.74,São Paulo,B,7.2,Bom
26,25,6235.6,Vitória,B,9.1,Bom
27,26,35809.29,São Paulo,A,9.3,Bom
28,69,43289.59,Rio de Janeiro,A,7.3,Bom
29,20,23300.51,São Paulo,B,5.3,Bom
30,73,26077.03,Rio de Janeiro,A,8.5,Bom
31,53,41785.08,Rio de Janeiro,B,6.6,Bom
32,59,12110.76,Belo Horizonte,B,5.9,Bom
33,74,33233.68,Rio de Janeiro,A,6.9,Bom
34,75,42519.32,São Paulo,A,5.2,Bom
35,53,33551.59,São Paulo,B,7.9,Bom
36,49,44811.04,Rio de Janeiro,A,6.1,Bom
37,77,45551.05,São Paulo,B,6.9,Bom
38,39,36469.72,Rio de Janeiro,B,10.0,Bom
39,51,39472.28,São Paulo,B,8.8,Bom
40,68,36533.64,São Paulo,A,9.8,Bom
41,18,13613.65,Belo Horizonte,B,8.7,Bom
42,52,35828.38,Rio de Janeiro,A,6.1,Bom
43,66,27490.89,Belo Horizonte,A,8.0,Bom
44,81,21584.05,Belo Horizonte,B,7.2,Bom
45,63,34344.2,Vitória,A,8.9,Bom
46,25,29505.23,Vitória,A,8.2,Bom
47,21,9724.91,São Paulo,A,5.3,Bom
48,67,32294.52,Rio de Janeiro,B,8.3,Bom
49,70,35097.63,São Paulo,A,6.8,Bom
50,52,45425.34,São Paulo,B,9.2,Bom
51,36,32214.9,Vitória,B,7.9,Bom
52,68,8679.34,Belo Horizonte,A,8.1,Bom
53,74,22476.86,Rio de Janeiro,B,5.3,Bom
54,16,28023.42,São Paulo,A,9.9,Bom
55,38,13926.61,Belo Horizonte,A,6.6,Bom
56,25,43373.84,Rio de Janeiro,B,6.7,Bom
57,73,39728.86,São Paulo,B,5.9,Bom
58,18,6683.05,Rio de Janeiro,A,9.3,Bom
59,55,3284.32,Rio de Janeiro,B,6.8,Bom
60,72,17084.12,Vitória,A,9.1,Bom
61,63,41101.09,Rio de Janeiro,B,9.5,Bom
62,81,22892.06,Rio de Janeiro,A,8.7,Bom
63,80,46109.3,Rio de Janeiro,A,5.7,Bom
64,46,6084.82,São Paulo,A,9.8,Bom
65,58,42741.61,Vitória,A,9.0,Bom
66,24,10013.66,Rio de Janeiro,A,9.4,Bom
67,49,26116.75,Vitória,A,6.7,Bom
68,25,22970.98,Belo Horizonte,A,9.5,Bom
69,16,6695.95,Belo Horizonte,B,9.3,Bom
70,24,41376.98,Vitória,A,8.7,Bom
71,72,29930.47,Belo Horizonte,A,5.3,Bom
72,57,8393.7,Rio de Janeiro,A,7.2,Bom
73,42,29735.38,Vitória,A,9.7,Bom
74,52,14009.74,São Paulo,A,9.4,Bom
75,65,17014.97,Rio de Janeiro,B,6.4,Bom
76,47,2736.34,Vitória,A,7.1,Bom
77,76,19700.21,Rio de Janeiro,B,8.9,Bom
78,36,8475.12,Rio de Janeiro,A,9.0,Bom
79,58,20965.19,Rio de Janeiro,B,6.2,Bom
80,46,18068.62,Vitória,B,6.1,Bom
81,78,27098.51,Vitória,B,5.2,Bom
82,30,9035.63,Vitória,B,6.7,Bom
83,71,22526.17,São Paulo,B,8.9,Bom
84,38,26129.9,São Paulo,A,7.9,Bom
85,75,32279.92,Vitória,A,7.7,Bom
86,22,12743.03,Belo Horizonte,B,8.1,Bom
87,46,2187.15,Vitória,A,5.5,Bom
88,51,44901.68,Rio de Janeiro,B,8.7,Bom
89,79,33722.28,São Paulo,B,6.7,Bom
90,47,46098.15,Rio de Janeiro,B,7.4,Bom
91,32,38796.13,Vitória,A,6.0,Bom
92,75,24403.79,Belo Horizonte,A,10.0,Bom
93,33,46222.4,Vitória,A,9.8,Bom
94,80,22922.44,Rio de Janeiro,B,7.8,Bom
95,49,16049.66,Rio de Janeiro,B,8.2,Bom
96,33,12977.05,São Paulo,A,9.5,Bom
97,21,38275.45,Rio de Janeiro,A,5.5,Bom
98,40,12794.88,Vitória,A,5.9,Bom
99,73,29862.59,Rio de Janeiro,A,7.0,Bom
100,21,2944.29,Vitória,A,8.2,Bom
101,62,5316.98,Rio de Janeiro,B,8.4,Bom
102,71,23654.62,Vitória,A,7.5,Bom
103,57,29973.17,Rio de Janeiro,A,5.4,Bom
104,19,2427.27,São Paulo,B,9.8,Bom
105,81,14839.03,São Paulo,A,7.5,Bom
106,20,34448.75,Belo Horizonte,B,6.5,Bom
107,65,10408.55,Rio de Janeiro,A,8.8,Bom
108,37,19337.93,São Paulo,B,5.3,Bom
109,75,38070.47,Rio de Janeiro,B,5.8,Bom
110,67,34310.66,São Paulo,A,7.3,Bom
111,25,4966.27,Belo Horizonte,A,7.9,Bom
112,26,16850.84,Vitória,A,9.9,Bom
113,73,25157.29,Vitória,B,8.3,Bom
114,42,31220.08,Belo Horizonte,A,5.9,Bom
115,70,3152.26,Belo Horizonte,A,6.7,Bom
116,28,25537.03,São Paulo,A,6.9,Bom
117,37,44503.05,Belo Horizonte,A,5.2,Bom
118,62,5683.66,Rio de Janeiro,B,7.2,Bom
119,42,29327.22,Rio de Janeiro,B,7.1,Bom
120,75,18369.54,São Paulo,A,6.9,Bom
121,18,15865.44,Rio de Janeiro,B,5.2,Bom
122,28,31429.87,Vitória,A,5.1,Bom
123,52,42504.42,Rio de Janeiro,B,6.2,Bom
124,53,17686.42,São Paulo,B,7.0,Bom
125,49,31849.25,Rio de Janeiro,A,9.4,Bom
126,73,8474.03,Vitória,B,10.0,Bom
127,60,11646.08,Rio de Janeiro,A,6.6,Bom
128,82,28527.29,São Paulo,B,7.3,Bom
129,22,41475.53,Vitória,A,5.1,Bom
130,51,37063.25,Rio de Janeiro,B,7.3,Bom
131,72,18243.93,Rio de Janeiro,B,5.8,Bom
132,77,32260.32,Vitória,A,7.6,Bom
133,46,18758.25,Rio de Janeiro,A,7.9,Bom
134,74,20605.07,São Paulo,A,5.7,Bom
135,35,33019.12,Belo Horizonte,A,6.6,Bom
136,70,4373.66,Belo Horizonte,B,5.4,Bom
137,43,18675.27,Vitória,B,9.4,Bom
138,26,27928.26,Belo Horizonte,A,5.0,Bom
139,35,25628.91,São Paulo,B,8.3,Bom
140,20,14154.16,São Paulo,A,6.7,Bom
141,26,27862.61,Vitória,A,6.9,Bom
142,22,18545.38,Belo Horizonte,A,8.0,Bom
143,51,30210.95,Belo Horizonte,B,5.6,Bom
144,60,20201.18,Belo Horizonte,A,7.8,Bom
145,71,36709.69,São Paulo,A,6.8,Bom
146,40,4126.56,Rio de Janeiro,B,7.3,Bom
147,26,20437.69,Belo Horizonte,B,6.1,Bom
148,67,33564.21,São Paulo,A,6.7,Bom
149,40,36797.47,Rio de Janeiro,B,6.0,Bom
150,53,7226.04,São Paulo,B,8.5,Bom
151,35,5748.64,Rio de Janeiro,A,9.3,Bom
152,78,13760.64,Vitória,B,6.7,Bom
153,18,42086.07,São Paulo,A,5.8,Bom
154,82,41336.4,Rio de Janeiro,B,8.7,Bom
155,29,29724.91,Rio de Janeiro,B,8.4,Bom
156,56,45995.87,Vitória,A,8.0,Bom
157,44,37491.67,Rio de Janeiro,A,7.0,Bom
158,9,57306.72,São Paulo,A,4.0,Bom
159,31,29738.92,São Paulo,A,6.5,Bom
160,68,15870.94,Vitória,B,8.1,Bom
161,62,44873.68,Rio de Janeiro,B,5.8,Bom
162,66,44017.96,São Paulo,A,6.8,Bom
163,26,32545.76,Vitória,B,8.4,Bom
164,38,35587.63,Rio de Janeiro,A,5.4,Bom
165,26,29788.36,Vitória,A,9.6,Bom
166,72,35526.69,São Paulo,B,8.0,Bom
167,24,15122.77,Vitória,A,9.9,Bom
168,76,26403.25,Rio de Janeiro,B,5.2,Bom
169,78,36943.22,Belo Horizonte,B,7.6,Bom
170,48,17317.73,São Paulo,A,9.5,Bom
171,31,38796.51,Rio de Janeiro,B,7.4,Bom
172,27,39029.58,Vitória,B,7.5,Bom
173,39,38912.37,Belo Horizonte,A,7.2,Bom
174,18,33992.17,São Paulo,A,7.1,Bom
175,45,41083.75,Belo Horizonte,A,5.5,Bom
176,68,31352.46,Belo Horizonte,A,5.3,Bom
177,66,8709.31,Belo Horizonte,B,10.0,Bom
178,18,28727.04,São Paulo,A,8.9,Bom
179,69,29850.33,Rio de Janeiro,B,9.0,Bom
180,77,7028.25,São Paulo,A,8.5,Bom
181,44,20099.25,Rio de Janeiro,B,9.4,Bom
182,73,40153.83,Rio de Janeiro,B,5.1,Bom
183,27,20976.5,São Paulo,A,7.2,Bom
184,37,9417.47,Belo Horizonte,A,6.3,Bom
185,29,31640.16,Vitória,A,9.8,Bom
186,21,42043.03,Rio de Janeiro,B,7.5,Bom
187,46,21559.02,Belo Horizonte,A,8.5,Bom
188,61,19271.01,Belo Horizonte,A,7.8,Bom
189,50,40930.74,Vitória,B,6.9,Bom
190,48,36601.51,Belo Horizonte,A,6.9,Bom
191,55,9804.38,Rio de Janeiro,A,9.0,Bom
192,57,35444.42,Belo Horizonte,A,8.5,Bom
193,78,18211.26,Rio de Janeiro,A,7.7,Bom
194,62,30892.83,Vitória,A,8.6,Bom
195,59,13601.59,Belo Horizonte,B,7.5,Bom
196,71,19409.53,Belo Horizonte,B,8.1,Bom
197,74,24877.79,Vitória,A,6.8,Bom
198,76,33714.19,Belo Horizonte,A,8.5,Bom
199,47,38393.02,São Paulo,B,7.8,Bom
200,18,19585.32,Belo Horizonte,B,9.2,Bom
201,16,33131.49,São Paulo,B,8.7,Bom
202,69,24986.88,São Paulo,B,6.3,Bom
203,47,14004.84,São Paulo,B,6.2,Bom
