id,idade,renda,cidade,categoria,nota,feedback
1,69,8467.57,Belo Horizonte,A,7.0,Bom
2,20,31543.01,Belo Horizonte,A,5.8,Bom
3,17,3473.9,Rio de Janeiro,B,8.5,Bom
4,37,2359.76,São Paulo,B,7.6,Bom
5,33,20322.85,Rio de Janeiro,,8.2,
6,51,37911.52,Belo Horizonte,A,7.6,Bom
7,44,40001.39,São Paulo,A,5.5,Bom
8,18,37218.23,Vitória,A,7.5,Bom
9,74,16983.73,Vitória,B,9.0,Bom
10,43,20324.12,Vitória,B,7.2,Bom
11,76,6276.42,Rio de Janeiro,A,9.4,Bom
12,35,27530.84,São Paulo,B,9.8,Bom
13,75,4445.9,Vitória,B,5.8,Bom
14,82,10478.66,Belo Horizonte,B,6.0,Bom
15,49,39355.89,São Paulo,A,9.5,Bom
16,50,41431.65,Rio de Janeiro,B,6.3,Bom
17,75,40720.4,São Paulo,A,7.7,Bom
18,33,4943.58,Vitória,A,8.2,Bom
19,56,30497.52,Belo Horizonte,A,7.6,Bom
20,79,23927.52,Belo Horizonte,A,8.8,Bom
21,22,11940.8,Belo Horizonte,A,10.0,Bom
22,18,13811.62,Belo Horizonte,B,8.6,Bom
23,80,21049.23,São Paulo,B,7.7,Bom
24,80,45509.79,São Paulo,A,5.9,Bom
25,48,20687.81,Vitória,B,5.8,Bom
26,16,16739.85,Vitória,A,9.2,Bom
27,65,8126.79,Vitória,A,7.0,Bom
28,62,7671.94,Vitória,B,7.8,Bom
29,50,45976.78,São Paulo,B,8.5,Bom
30,25,12799.78,Belo Horizonte,B,6.9,Bom
31,29,27054.97,Belo Horizonte,A,8.1,Bom
32,54,6660.39,Rio de Janeiro,B,9.3,Bom
33,33,29913.63,São Paulo,B,6.4,Bom
34,16,22465.53,Vitória,A,6.6,Bom
35,75,45078.01,Belo Horizonte,A,9.8,Bom
36,52,23528.53,Belo Horizonte,B,8.6,Bom
37,45,14446.37,Vitória,A,5.0,Bom
38,24,1647.78,Rio de Janeiro,B,9.7,Bom
39,72,27345.5,Rio de Janeiro,B,7.8,Bom
40,77,42200.95,Vitória,A,9.3,Bom
41,29,41247.58,Rio de Janeiro,A,8.8,Bom
42,32,30326.87,São Paulo,A,6.7,Bom
43,61,15387.85,São Paulo,B,9.3,Bom
44,68,27228.39,São Paulo,A,8.3,Bom
45,58,25547.77,Vitória,A,6.4,Bom
46,60,35997.98,São Paulo,A,7.5,Bom
47,43,21138.6,Rio de Janeiro,B,6.7,Bom
48,73,42796.21,São Paulo,A,9.0,Bom
49,24,26639.68,Rio de Janeiro,B,8.8,Bom
50,27,2477.62,Belo Horizonte,B,5.1,Bom
51,59,36745.03,Belo Horizonte,B,5.4,Bom
52,35,44905.14,Vitória,A,7.7,Bom
53,80,28890.57,São Paulo,A,5.7,Bom
54,60,21609.64,Rio de Janeiro,A,9.0,Bom
55,56,42239.23,São Paulo,A,7.7,Bom
56,53,23406.98,Rio de Janeiro,B,6.0,Bom
57,52,9990.31,Belo Horizonte,B,8.7,Bom
58,20,4486.37,Belo Horizonte,A,6.9,Bom
59,60,17957.72,Belo Horizonte,B,8.3,Bom
60,23,11890.92,São Paulo,A,9.8,Bom
61,46,45619.13,Belo Horizonte,B,8.1,Bom
62,80,16959.9,Vitória,A,8.4,Bom
63,35,15914.36,São Paulo,A,7.5,Bom
64,46,17073.9,Vitória,B,7.3,Bom
65,43,38922.61,Vitória,B,6.9,Bom
66,60,,Vitória,B,7.0,
67,69,4277.59,Belo Horizonte,B,8.5,Bom
68,43,9365.44,Rio de Janeiro,B,8.5,Bom
69,17,33099.86,São Paulo,A,8.1,Bom
70,28,26516.78,Vitória,B,7.1,Bom
71,78,41651.71,São Paulo,B,6.6,Bom
72,27,32252.63,Belo Horizonte,B,7.5,Bom
73,70,23576.58,Vitória,B,10.0,Bom
74,28,18825.98,Rio de Janeiro,A,7.4,Bom
75,63,41464.52,Vitória,B,5.1,Bom
76,46,6227.87,São Paulo,B,6.5,Bom
77,60,38549.91,Rio de Janeiro,B,6.8,Bom
78,16,37035.46,Belo Horizonte,B,9.6,Bom
79,61,42709.9,Rio de Janeiro,A,6.2,Bom
80,59,15923.71,Rio de Janeiro,B,7.9,Bom
81,19,6361.46,Belo Horizonte,A,6.7,Bom
82,60,35091.72,Rio de Janeiro,A,7.1,Bom
83,30,12133.99,São Paulo,A,9.4,Bom
84,23,25966.42,São Paulo,B,7.5,Bom
85,49,42153.56,Belo Horizonte,A,6.2,Bom
86,62,9417.04,São Paulo,A,8.6,Bom
87,77,32304.45,São Paulo,A,5.9,Bom
88,74,27061.26,São Paulo,A,7.4,Bom
89,17,31915.95,Belo Horizonte,B,6.2,Bom
90,67,28312.72,Belo Horizonte,A,7.2,Bom
91,25,27428.94,Rio de Janeiro,A,5.1,Bom
92,79,38834.7,Belo Horizonte,B,5.7,Bom
