id,idade,renda,cidade,categoria,nota,feedback
1,58,10572.99,Vitória,B,7.4,Bom
2,48,9426.57,Rio de Janeiro,A,7.8,Bom
3,39,38796.17,Rio de Janeiro,A,8.1,Bom
4,71,9451.5,Vitória,A,6.5,Bom
5,58,43506.19,Vitória,A,9.7,Bom
6,49,10346.2,Rio de Janeiro,B,6.9,Bom
7,75,38548.9,São Paulo,A,6.7,Bom
8,38,16379.03,São Paulo,A,9.1,Bom
9,57,19619.38,Vitória,A,9.8,Bom
10,41,33007.32,Vitória,B,7.8,Bom
11,24,35842.31,Rio de Janeiro,B,9.5,Bom
12,20,33980.51,Belo Horizonte,B,8.3,Bom
13,59,27904.7,Belo Horizonte,B,8.5,Bom
14,53,44191.78,São Paulo,A,5.5,Bom
15,68,16776.95,Belo Horizonte,B,9.5,Bom
16,39,25872.28,Belo Horizonte,A,8.5,Bom
17,36,41672.34,Belo Horizonte,B,7.7,Bom
18,41,40228.11,Vitória,A,9.3,Bom
19,67,4784.31,São Paulo,A,6.8,Bom
20,56,24426.42,Rio de Janeiro,B,7.7,Bom
21,70,34330.65,Belo Horizonte,A,5.8,Bom
22,71,7494.74,Vitória,B,7.3,Bom
23,65,24947.46,Vitória,A,5.2,Bom
24,33,21407.77,Rio de Janeiro,B,8.1,Bom
25,23,19557.48,Belo Horizonte,B,6.6,Bom
26,23,38153.48,Vitória,A,6.9,Bom
27,77,36097.26,Rio de Janeiro,A,8.8,Bom
28,46,41434.6,Belo Horizonte,B,7.9,Bom
29,71,30040.41,Vitória,B,5.6,Bom
30,27,45334.07,Vitória,A,8.5,Bom
31,34,37649.16,Vitória,B,9.8,Bom
32,17,7161.49,São Paulo,B,9.4,Bom
33,59,1665.29,Rio de Janeiro,A,5.2,Bom
34,41,41381.75,Vitória,B,7.7,Bom
35,53,18882.9,Vitória,B,8.6,Bom
36,56,28546.57,São Paulo,B,7.9,Bom
37,48,8710.0,São Paulo,A,7.5,Bom
38,16,32565.7,Belo Horizonte,B,9.0,Bom
39,81,38210.36,Belo Horizonte,B,6.3,Bom
40,23,27109.78,Belo Horizonte,B,6.3,Bom
41,20,30704.8,Belo Horizonte,B,5.7,Bom
42,34,8996.64,Vitória,A,7.6,Bom
43,77,11036.43,Rio de Janeiro,A,8.1,Bom
44,51,16581.77,Belo Horizonte,A,6.3,Bom
45,20,2653.83,Belo Horizonte,A,5.1,Bom
46,46,44925.61,Rio de Janeiro,A,6.0,Bom
47,4,80675.02,São Paulo,A,0.1,Bom
