id,idade,renda,cidade,categoria,nota,feedback
1,31,2234.8,Belo Horizonte,B,3.7,Regular
2,,2537.0,São Paulo,A,0.2,Ruim
3,47,12155.01,Vitória,B,8.3,Ruim
4,35,7554.11,Belo Horizonte,B,5.0,Bom
5,62,3817.81,Belo Horizonte,B,8.4,Bom
6,64,4320.76,Vitória,A,9.4,Ruim
7,,2539.41,Rio de Janeiro,A,1.9,Regular
8,30,8318.21,São Paulo,A,6.7,Bom
9,52,12565.79,Rio de Janeiro,B,6.7,Ruim
10,58,5314.79,Rio de Janeiro,A,8.2,Bom
11,68,9548.23,,B,5.6,Regular
12,68,3696.86,Vitória,B,5.6,Bom
13,26,4378.1,São Paulo,A,6.5,Ruim
14,66,12099.15,Vitória,A,0.0,Regular
15,22,10812.02,São Paulo,B,1.1,Regular
16,27,11925.45,Belo Horizonte,B,4.6,Regular
17,,6767.73,Belo Horizonte,B,1.6,Regular
18,49,2999.15,São Paulo,B,2.6,Bom
19,26,10269.07,Belo Horizonte,A,1.4,Bom
20,55,3176.35,São Paulo,A,1.4,Regular
21,29,,Rio de Janeiro,A,9.4,Bom
22,25,7532.71,Vitória,A,4.5,Regular
23,20,2935.4,Vitória,B,0.4,Ruim
24,99,795.33,São Paulo,B,10.2,Ruim
25,68,2181.37,Rio de Janeiro,B,6.3,Ruim
26,69,10086.06,Rio de Janeiro,A,2.1,Ruim
27,20,5460.03,Vitória,B,2.8,Regular
28,37,7275.69,Belo Horizonte,B,4.5,Regular
29,44,9030.97,Vitória,B,9.1,Bom
30,27,2758.01,Belo Horizonte,B,2.5,Bom
31,57,4560.03,Vitória,A,6.1,Regular
32,42,12198.7,Rio de Janeiro,B,8.7,Regular
33,21,7846.91,Rio de Janeiro,A,8.7,Ruim
34,56,9563.64,Vitória,B,4.8,Ruim
35,28,7921.76,Rio de Janeiro,B,6.4,Bom
36,42,6499.37,Vitória,A,8.3,Ruim
37,39,7224.04,Belo Horizonte,B,0.5,Ruim
38,39,12537.76,São Paulo,A,6.5,Bom
39,55,4414.1,Vitória,A,6.5,Bom
40,57,7788.26,Vitória,A,2.0,Ruim
41,44,6330.7,Vitória,A,3.9,Regular
42,61,8492.76,Belo Horizonte,B,0.0,Ruim
43,67,1623.89,Belo Horizonte,A,9.9,Bom
44,40,10159.4,Rio de Janeiro,B,1.9,Ruim
45,26,10573.6,Rio de Janeiro,A,7.7,Regular
46,36,1504.29,São Paulo,A,5.2,Ruim
47,23,9333.37,Vitória,A,1.7,Bom
48,59,4336.55,Belo Horizonte,B,8.9,Bom
49,16,12402.99,São Paulo,A,0.5,Regular
50,18,3759.68,Rio de Janeiro,A,5.1,Regular
51,19,5748.6,Vitória,B,1.5,Regular
52,57,2273.09,Vitória,A,8.1,Regular
53,31,8844.84,Rio de Janeiro,B,6.0,Regular
54,53,9351.94,Vitória,B,8.5,Regular
55,68,4593.22,São Paulo,A,1.0,Bom
56,42,1387.35,Belo Horizonte,B,1.0,Bom
57,40,10451.02,Vitória,A,2.4,Ruim
58,52,4908.91,São Paulo,B,1.0,Regular
59,27,7282.71,Belo Horizonte,A,0.2,Regular
60,39,10924.34,Rio de Janeiro,B,0.7,Ruim
61,67,4714.14,Belo Horizonte,B,3.2,Bom
62,23,5665.93,Belo Horizonte,B,3.2,Bom
63,68,1773.24,Belo Horizonte,A,9.3,Regular
64,37,3368.93,Rio de Janeiro,B,1.9,Bom
65,33,11145.38,Vitória,B,7.0,Ruim
66,49,1402.49,Rio de Janeiro,A,9.3,Ruim
67,20,2156.1,Rio de Janeiro,B,5.2,Bom
68,49,11641.72,São Paulo,B,5.4,Regular
69,37,9389.88,Rio de Janeiro,B,9.2,Bom
70,36,6042.98,São Paulo,A,0.8,Bom
71,,3643.73,Rio de Janeiro,A,4.6,Regular
72,39,6313.61,São Paulo,A,7.9,Bom
73,16,3756.35,Belo Horizonte,A,5.4,Ruim
74,53,5836.65,Rio de Janeiro,A,3.5,Regular
75,45,12001.28,São Paulo,B,1.7,Ruim
76,52,5158.96,São Paulo,B,6.4,Regular
77,96,36283.25,Belo Horizonte,B,-0.2,Bom
78,28,10387.24,São Paulo,A,1.0,Regular
79,61,10687.04,Vitória,A,3.7,Bom
80,39,5716.93,Belo Horizonte,A,7.3,Bom
81,49,10280.95,Rio de Janeiro,B,7.1,Bom
82,63,6081.27,Vitória,B,7.5,Bom
83,,4456.5,Belo Horizonte,B,6.9,Bom
84,43,7318.35,Vitória,B,2.1,Bom
85,26,3786.8,Rio de Janeiro,A,4.7,Bom
86,21,11159.41,Vitória,B,5.4,Ruim
87,29,1974.46,Vitória,A,7.0,Ruim
88,56,1610.72,Vitória,A,4.3,Bom
89,50,6432.82,Rio de Janeiro,A,5.1,Regular
90,67,4275.59,Rio de Janeiro,B,2.8,Regular
91,44,6847.25,São Paulo,A,2.4,Bom
92,53,8259.9,Vitória,A,2.2,Ruim
93,66,3958.52,Rio de Janeiro,A,3.3,Ruim
94,30,1691.3,Rio de Janeiro,A,8.6,Ruim
95,56,2906.15,Vitória,A,2.2,Regular
96,45,4081.89,Belo Horizonte,B,1.3,Ruim
97,39,1917.67,São Paulo,A,8.0,Ruim
98,44,4765.45,São Paulo,A,8.5,Ruim
99,49,11347.46,São Paulo,B,3.3,Ruim
100,17,2250.84,Vitória,A,4.4,Regular
101,42,8557.48,Rio de Janeiro,A,5.6,Regular
102,47,12413.41,Belo Horizonte,A,0.0,Ruim
103,21,3408.31,Vitória,B,0.0,Ruim
104,41,7496.84,Rio de Janeiro,B,9.2,Regular
105,18,12928.2,São Paulo,A,5.2,Ruim
106,62,10895.38,São Paulo,B,6.2,Regular
107,68,5162.98,São Paulo,B,4.1,Regular
108,61,8957.95,Vitória,B,7.4,Regular
109,67,11919.61,Vitória,B,9.1,Regular
110,46,4830.18,Belo Horizonte,A,7.5,Regular
111,19,11798.05,São Paulo,B,7.9,Regular
112,28,8435.34,Rio de Janeiro,B,9.5,Regular
113,42,9054.63,Rio de Janeiro,A,4.4,Bom
114,38,3439.38,São Paulo,A,0.4,Ruim
115,44,4470.96,São Paulo,A,0.8,Bom
